"project","organism","file_source","project_home","project_type","n_samples"
"SRP090469","mouse","sra","data_sources/sra","data_sources",8
"SRP067469","mouse","sra","data_sources/sra","data_sources",1
"ERP108769","mouse","sra","data_sources/sra","data_sources",6
"SRP131869","mouse","sra","data_sources/sra","data_sources",6
"ERP004369","mouse","sra","data_sources/sra","data_sources",48
"SRP011987","mouse","sra","data_sources/sra","data_sources",12
"SRP159187","mouse","sra","data_sources/sra","data_sources",2
"SRP148287","mouse","sra","data_sources/sra","data_sources",120
"ERP005787","mouse","sra","data_sources/sra","data_sources",16
"SRP034687","mouse","sra","data_sources/sra","data_sources",1
"SRP114987","mouse","sra","data_sources/sra","data_sources",27
"SRP166887","mouse","sra","data_sources/sra","data_sources",114
"SRP074887","mouse","sra","data_sources/sra","data_sources",80
"SRP071087","mouse","sra","data_sources/sra","data_sources",21
"SRP188587","mouse","sra","data_sources/sra","data_sources",16
"SRP161187","mouse","sra","data_sources/sra","data_sources",4
"SRP065187","mouse","sra","data_sources/sra","data_sources",18
"SRP108687","mouse","sra","data_sources/sra","data_sources",9
"SRP059387","mouse","sra","data_sources/sra","data_sources",12
"SRP076387","mouse","sra","data_sources/sra","data_sources",12
"SRP144587","mouse","sra","data_sources/sra","data_sources",18
"SRP100987","mouse","sra","data_sources/sra","data_sources",102
"SRP076287","mouse","sra","data_sources/sra","data_sources",24
"SRP090187","mouse","sra","data_sources/sra","data_sources",5
"SRP045787","mouse","sra","data_sources/sra","data_sources",5
"SRP136487","mouse","sra","data_sources/sra","data_sources",12
"SRP108787","mouse","sra","data_sources/sra","data_sources",20
"SRP166987","mouse","sra","data_sources/sra","data_sources",11
"SRP223287","mouse","sra","data_sources/sra","data_sources",32
"SRP029887","mouse","sra","data_sources/sra","data_sources",5
"ERP016487","mouse","sra","data_sources/sra","data_sources",80
"SRP091387","mouse","sra","data_sources/sra","data_sources",8
"ERP016687","mouse","sra","data_sources/sra","data_sources",9
"ERP113687","mouse","sra","data_sources/sra","data_sources",9
"SRP180887","mouse","sra","data_sources/sra","data_sources",20
"SRP150687","mouse","sra","data_sources/sra","data_sources",192
"SRP158887","mouse","sra","data_sources/sra","data_sources",16
"SRP143487","mouse","sra","data_sources/sra","data_sources",13
"SRP091987","mouse","sra","data_sources/sra","data_sources",24
"SRP104987","mouse","sra","data_sources/sra","data_sources",6
"SRP116187","mouse","sra","data_sources/sra","data_sources",16
"SRP047487","mouse","sra","data_sources/sra","data_sources",20
"SRP127587","mouse","sra","data_sources/sra","data_sources",24
"SRP166087","mouse","sra","data_sources/sra","data_sources",12
"SRP132587","mouse","sra","data_sources/sra","data_sources",2
"ERP000787","mouse","sra","data_sources/sra","data_sources",6
"SRP198487","mouse","sra","data_sources/sra","data_sources",8
"SRP150787","mouse","sra","data_sources/sra","data_sources",16
"SRP165187","mouse","sra","data_sources/sra","data_sources",12
"SRP154187","mouse","sra","data_sources/sra","data_sources",12
"SRP069187","mouse","sra","data_sources/sra","data_sources",20
"SRP095487","mouse","sra","data_sources/sra","data_sources",2
"SRP220487","mouse","sra","data_sources/sra","data_sources",21
"SRP186487","mouse","sra","data_sources/sra","data_sources",6
"DRP001187","mouse","sra","data_sources/sra","data_sources",30
"SRP149487","mouse","sra","data_sources/sra","data_sources",8
"SRP074487","mouse","sra","data_sources/sra","data_sources",16
"SRP215287","mouse","sra","data_sources/sra","data_sources",19
"ERP009787","mouse","sra","data_sources/sra","data_sources",36
"SRP067687","mouse","sra","data_sources/sra","data_sources",2
"ERP018587","mouse","sra","data_sources/sra","data_sources",2
"SRP079387","mouse","sra","data_sources/sra","data_sources",6
"SRP059487","mouse","sra","data_sources/sra","data_sources",9
"SRP098987","mouse","sra","data_sources/sra","data_sources",18
"SRP024287","mouse","sra","data_sources/sra","data_sources",6
"SRP094587","mouse","sra","data_sources/sra","data_sources",53
"SRP078987","mouse","sra","data_sources/sra","data_sources",18
